timestamp,generation,median,win_rate,max,min,bust_rate,mean,sd,seed,filename
20250812_231920,22,12.00,0.0300,432,0,0.5080,13.7360,25.6455,64,gen022_med12.00_win03_max432_min0_20250812_231920.json
20250812_231954,23,12.00,0.0240,324,0,0.5208,12.3920,23.5832,65,gen023_med12.00_win02_max324_min0_20250812_231954.json
20250812_232027,24,12.00,0.0180,324,0,0.5244,12.5660,23.5192,66,gen024_med12.00_win01_max324_min0_20250812_232027.json
20250812_232102,25,12.00,0.0200,324,0,0.5072,13.1120,20.2894,67,gen025_med12.00_win02_max324_min0_20250812_232102.json
20250812_232129,26,12.00,0.0320,112,0,0.5204,11.5200,15.5690,68,gen026_med12.00_win03_max112_min0_20250812_232129.json
20250812_232155,27,12.00,0.0280,324,0,0.5188,12.2880,20.6694,69,gen027_med12.00_win02_max324_min0_20250812_232155.json
20250812_232227,28,12.00,0.0300,113,0,0.5208,12.0180,14.3004,70,gen028_med12.00_win03_max113_min0_20250812_232227.json
20250812_232300,29,12.00,0.0260,324,0,0.4984,12.6500,20.6066,71,gen029_med12.00_win02_max324_min0_20250812_232300.json
20250812_232334,30,12.00,0.0240,324,0,0.5148,13.6320,25.3290,72,gen030_med12.00_win02_max324_min0_20250812_232334.json
20250812_232406,31,12.00,0.0180,324,0,0.5132,13.3840,24.8665,73,gen031_med12.00_win01_max324_min0_20250812_232406.json
20250812_232437,32,12.00,0.0260,112,0,0.5132,11.6080,15.3656,74,gen032_med12.00_win02_max112_min0_20250812_232437.json
20250812_232511,33,12.00,0.0260,324,0,0.5400,13.1680,22.6797,75,gen033_med12.00_win02_max324_min0_20250812_232511.json
20250812_232545,34,12.00,0.0260,324,0,0.5076,13.3540,20.7607,76,gen034_med12.00_win02_max324_min0_20250812_232545.json
20250812_232615,35,12.00,0.0320,324,0,0.5276,12.5200,20.6750,77,gen035_med12.00_win03_max324_min0_20250812_232615.json
20250812_232649,36,12.00,0.0340,324,0,0.5220,14.8280,30.9021,78,gen036_med12.00_win03_max324_min0_20250812_232649.json
20250812_232712,37,12.00,0.0260,324,0,0.5152,12.7520,20.1199,79,gen037_med12.00_win02_max324_min0_20250812_232712.json
20250812_232734,38,12.00,0.0300,324,0,0.5076,14.0040,28.0879,80,gen038_med12.00_win03_max324_min0_20250812_232734.json
20250812_232803,39,12.00,0.0320,324,0,0.5108,12.9920,20.8593,81,gen039_med12.00_win03_max324_min0_20250812_232803.json
20250812_232835,40,12.00,0.0220,324,0,0.5308,12.1920,19.9028,82,gen040_med12.00_win02_max324_min0_20250812_232835.json
20250812_232908,41,12.00,0.0260,432,0,0.5452,12.4320,22.9711,83,gen041_med12.00_win02_max432_min0_20250812_232908.json
20250812_232930,42,12.00,0.0180,324,0,0.5064,12.2200,23.8217,84,gen042_med12.00_win01_max324_min0_20250812_232930.json
20250812_233412,1,0.00,0.0440,0,0,0.4408,12.5120,25.0963,43,gen001_med0.00_win04_max0_min0_20250812_233412.json
20250812_233442,2,0.00,0.0480,0,0,0.4480,17.5480,46.2390,44,gen002_med0.00_win04_max0_min0_20250812_233442.json
20250812_233504,3,0.00,0.0540,0,0,0.5136,18.7540,49.6801,45,gen003_med0.00_win05_max0_min0_20250812_233504.json
20250812_233526,4,0.00,0.0300,0,0,0.4840,12.8140,36.7397,46,gen004_med0.00_win03_max0_min0_20250812_233526.json
20250812_233549,5,0.00,0.0380,0,0,0.5020,18.0620,49.6186,47,gen005_med0.00_win03_max0_min0_20250812_233549.json
20250812_233611,6,0.00,0.0360,0,0,0.4780,17.8960,48.1308,48,gen006_med0.00_win03_max0_min0_20250812_233611.json
20250812_233633,7,0.00,0.0300,0,0,0.4908,19.1540,53.5138,49,gen007_med0.00_win03_max0_min0_20250812_233633.json
20250812_233655,8,0.00,0.0360,0,0,0.5408,20.5680,55.2275,50,gen008_med0.00_win03_max0_min0_20250812_233655.json
20250812_233719,9,0.00,0.0400,0,0,0.5156,21.5320,63.6837,51,gen009_med0.00_win04_max0_min0_20250812_233719.json
20250812_233745,10,0.00,0.0340,0,0,0.4868,21.9740,60.2180,52,gen010_med0.00_win03_max0_min0_20250812_233745.json
20250812_233823,11,0.00,0.0260,0,0,0.4204,17.6980,47.9354,53,gen011_med0.00_win02_max0_min0_20250812_233823.json
20250812_233848,12,0.00,0.0340,0,0,0.4912,20.7500,57.0329,54,gen012_med0.00_win03_max0_min0_20250812_233848.json
20250812_233923,13,0.00,0.0260,0,0,0.4228,18.3500,52.8290,55,gen013_med0.00_win02_max0_min0_20250812_233923.json
20250812_233952,14,0.00,0.0300,0,0,0.4704,18.9520,64.2129,56,gen014_med0.00_win03_max0_min0_20250812_233952.json
20250812_234025,15,0.00,0.0320,0,0,0.4248,18.8520,48.7187,57,gen015_med0.00_win03_max0_min0_20250812_234025.json
20250812_234052,16,0.00,0.0320,0,0,0.4704,19.5800,63.8796,58,gen016_med0.00_win03_max0_min0_20250812_234052.json
20250812_234115,17,0.00,0.0340,0,0,0.5036,29.3560,89.5185,59,gen017_med0.00_win03_max0_min0_20250812_234115.json
20250812_234137,18,0.00,0.0320,0,0,0.4400,22.0480,62.9655,60,gen018_med0.00_win03_max0_min0_20250812_234137.json
20250812_234159,19,0.00,0.0360,0,0,0.4448,22.1240,57.2679,61,gen019_med0.00_win03_max0_min0_20250812_234159.json
20250812_234222,20,0.00,0.0380,0,0,0.4712,25.0380,98.8709,62,gen020_med0.00_win03_max0_min0_20250812_234222.json
20250812_234244,21,0.00,0.0340,0,0,0.5048,21.4360,81.8456,63,gen021_med0.00_win03_max0_min0_20250812_234244.json
20250813_015653,1,0.00,0.0720,0,0,0.7600,7.2500,6.0501,43,gen001_med0.00_win07_max0_min0_20250813_015653.json
20250813_015704,2,0.00,0.0800,0,0,0.7496,7.5440,6.1051,44,gen002_med0.00_win08_max0_min0_20250813_015704.json
20250813_015718,3,0.00,0.0560,0,0,0.7420,7.7760,5.9848,45,gen003_med0.00_win05_max0_min0_20250813_015718.json
20250813_015730,4,0.00,0.0480,0,0,0.6748,8.3860,5.5509,46,gen004_med0.00_win04_max0_min0_20250813_015730.json
20250813_015743,5,0.00,0.0480,0,0,0.6884,7.9820,5.5951,47,gen005_med0.00_win04_max0_min0_20250813_015743.json
20250813_015755,6,0.00,0.0500,0,0,0.6524,8.4080,4.9801,48,gen006_med0.00_win05_max0_min0_20250813_015755.json
20250813_015808,7,0.00,0.0600,0,0,0.6368,8.7840,5.2396,49,gen007_med0.00_win06_max0_min0_20250813_015808.json
20250813_015820,8,0.00,0.0480,0,0,0.6660,8.4140,5.5637,50,gen008_med0.00_win04_max0_min0_20250813_015820.json
